label,youtube_id,time_start,time_end,split
blowing out candles,9llCP403aqU,65,75,validate
robot dancing,9lo2K6uLB3o,138,148,validate
swinging legs,9m1DUenqISg,3,13,validate
tapping guitar,9mAalxubLl4,72,82,validate
playing bass guitar,9mUwLfcztyE,18,28,validate
sailing,9m_uKIZ1I5I,25,35,validate
blowing glass,9mec-ejMBqQ,15,25,validate
playing basketball,9mjAtIkbiI8,349,359,validate
skiing crosscountry,9mnVCSav6e4,118,128,validate
opening present,9nJm_E_TJls,29,39,validate
shaving legs,9n_NaKdXBMI,44,54,validate
playing piano,9o68AyEWzcM,81,91,validate
waiting in line,9o7kzSFN02s,244,254,validate
playing recorder,9oTEIzRdu0k,17,27,validate
playing didgeridoo,9obFcEhYdbs,356,366,validate
hoverboarding,9ojunyiSeRQ,0,10,validate
slacklining,9olf9LU49bQ,18,28,validate
pole vault,9oyfQ9Tl6jA,14,24,validate
marching,9qbiWvlGeSQ,23,33,validate
washing hair,9qcSuFYgk0k,9,19,validate
barbequing,9qiZmSjCHco,335,345,validate
tapping pen,9qincgvSOU0,0,10,validate
massaging feet,9rDsOoRCw_c,1545,1555,validate
salsa dancing,9rnNcYl8GCI,203,213,validate
playing ukulele,9rudQQiIWac,22,32,validate
crying,9s3oeyGSF-I,29,39,validate
bookbinding,9spV9n6N_mw,213,223,validate
throwing ball,9tTBYK2Dpgw,3,13,validate
dancing gangnam style,9tY3yo25xUQ,140,150,validate
clean and jerk,9tYNQlZO1Rw,10,20,validate
playing monopoly,9u6-u4auhyg,157,167,validate
wrestling,9vAGx0mL0-c,8,18,validate
spinning poi,9vEq6SC2-hA,44,54,validate
throwing axe,9vNvLJ77B2w,7,17,validate
beatboxing,9vOJ_EAXmhY,0,10,validate
applauding,9vOxThR8gns,13,23,validate
deadlifting,9vSb28P8u98,150,160,validate
roller skating,9vU8zlfnayY,81,91,validate
drawing,9vUAU5BeAGI,173,183,validate
decorating the christmas tree,9vfOoUY3sBs,27,37,validate
finger snapping,9vmb7OBcGCA,0,10,validate
singing,9vxWK9ozKz0,16,26,validate
throwing axe,9wO0YRODVTE,43,53,validate
jumping into pool,9wXgbdeeS1w,0,10,validate
tossing salad,9xDAFyxcCQU,181,191,validate
cleaning toilet,9xQ5ztHj5n4,4,14,validate
playing recorder,9xRs-w8HtXE,3,13,validate
eating carrots,9xVXSjsJ1P4,2,12,validate
playing volleyball,9x_ijt1JSBU,55,65,validate
shining shoes,9xtYwXpaiZ0,78,88,validate
drinking shots,9xuCdsR5Krc,51,61,validate
filling eyebrows,9y9G0Hg9sU4,506,516,validate
playing organ,9yE2fYNgr9s,105,115,validate
spinning poi,9yGEDwr8ZLg,3,13,validate
bending back,9yPQHK-GXUs,56,66,validate
pumping gas,9ykbMdR9Jss,2,12,validate
skiing slalom,9yqjAckuPM0,136,146,validate
eating watermelon,9zAOG7R84S8,87,97,validate
assembling computer,9zIne0cmv4c,432,442,validate
playing saxophone,9zhbUqXWyog,90,100,validate
digging,9ziw1PEFpKY,46,56,validate
dying hair,9zpIti07rYA,980,990,validate
passing American football (not in game),9zzU7jGgxY4,247,257,validate
grinding meat,A-2ZHMTUxC4,4,14,validate
presenting weather forecast,A-UcukvweWQ,78,88,validate
drop kicking,A-mYLJtmrl0,0,10,validate
peeling apples,A-x6UzXgQTw,6,16,validate
jumping into pool,A0M447N6fBw,4,14,validate
dodgeball,A1D99ob4Wj0,84,94,validate
cleaning shoes,A1DOLsw1QYs,56,66,validate
rock climbing,A1DVWJL42Og,75,85,validate
passing American football (in game),A1GyD1xuAbk,12,22,validate
bartending,A1rYh-cr67c,168,178,validate
dunking basketball,A2I07wKnRA0,11,21,validate
getting a tattoo,A2IbV23RY6s,12,22,validate
dying hair,A2eFiKkGgC0,45,55,validate
juggling balls,A3DtdI6ZORg,27,37,validate
brushing hair,A3yC6hwhcJc,1,11,validate
hammer throw,A44s5OopUM4,9,19,validate
taking a shower,A49R72aErHs,309,319,validate
drumming fingers,A4JP5GTOf4k,124,134,validate
vault,A4U2LxAwIm4,31,41,validate
springboard diving,A4bNdru5q4A,125,135,validate
opening present,A4kz31UNYhE,15,25,validate
checking tires,A52IDlIsMMo,58,68,validate
skydiving,A5VPOH64_3Q,62,72,validate
climbing tree,A5b9rKmPls4,8,18,validate
throwing ball,A6JeTfQqm0I,0,10,validate
spraying,A6hIl_O91q4,15,25,validate
applauding,A70byjNkwdA,1,11,validate
cheerleading,A7DMjBZyvDY,90,100,validate
ski jumping,A7ZNH7OZqPs,589,599,validate
tying knot (not on a tie),A7wWxGRqEeM,13,23,validate
playing badminton,A826wxc08tk,257,267,validate
watering plants,A89AWO07yyE,78,88,validate
shaking hands,A89pWKqmcPE,3,13,validate
trimming trees,A8HHXIcXAVU,4,14,validate
cooking on campfire,A8TIWMvJVDU,37,47,validate
juggling balls,A8cww8TH4l8,14,24,validate
using segway,A8sjbCSzUow,38,48,validate
spraying,A9P9umZ1xE8,410,420,validate
playing squash or racquetball,A9TcWJnbcWs,1,11,validate
playing controller,A9_HJgc-Fy4,12,22,validate
folding paper,A9gEnn7XG1g,183,193,validate
clapping,A9nmEEEhQhM,17,27,validate
playing volleyball,AAB667vHVnc,5,15,validate
folding paper,AAJWXKsynZM,17,27,validate
shaking head,AAjWLctyFoY,14,24,validate
spinning poi,AB3x7YTqsFs,26,36,validate
yoga,ABZeO_PTU6c,63,73,validate
playing accordion,ABnQrFG971o,7,17,validate
feeding birds,ABtTPxaI1Ek,3,13,validate
doing laundry,ABuGVO-TiBI,3,13,validate
golf chipping,ACKYf5qI2Gw,38,48,validate
headbutting,AChHPIKGDg4,33,43,validate
squat,AChHdc1TCpM,4,14,validate
roller skating,AD-2M-QdE0I,1,11,validate
shooting basketball,AD1P-ZmkxPA,21,31,validate
decorating the christmas tree,AD2fqkB7lQY,16,26,validate
blowing glass,ADD060jBiAQ,2,12,validate
feeding fish,ADLGYEI62a0,12,22,validate
shredding paper,ADWSdw8C3Og,34,44,validate
tai chi,ADe2db9hApA,63,73,validate
golf driving,AE3PRASrhY8,1,11,validate
dancing macarena,AE66r-8pfLE,176,186,validate
capoeira,AE8lCWReKHo,74,84,validate
playing organ,AEOaqO60H0k,108,118,validate
playing chess,AEjKG75SDRM,159,169,validate
eating ice cream,AEzPWvY3WIc,25,35,validate
sled dog racing,AF4Hnk8_0Ws,1,11,validate
changing oil,AFP5p_fgPNw,184,194,validate
writing,AFV8x8ezN8g,16,26,validate
cleaning gutters,AFq4gCNYqYU,32,42,validate
cleaning pool,AFvEYQkSmfk,123,133,validate
doing nails,AGimoCxUj8Q,388,398,validate
eating watermelon,AHEfmLAeDoc,171,181,validate
juggling soccer ball,AHXpkJSLqg4,460,470,validate
washing hands,AHaytMxY0uU,3,13,validate
cleaning pool,AHiu-Okbhho,8,18,validate
high kick,AHp7S427fQE,21,31,validate
playing poker,AHsp7DnzOQw,963,973,validate
playing drums,AIEtuW7zk34,139,149,validate
jumpstyle dancing,AIFOKQUDfK8,63,73,validate
pumping gas,AILF_J3CniQ,11,21,validate
blasting sand,AIYO8c5YxnA,45,55,validate
moving furniture,AIb2tUoe8rw,134,144,validate
slacklining,AIjIa5huDVE,12,22,validate
drumming fingers,AJ2vSNZ2SWA,0,10,validate
whistling,AJ6QhPZIBbk,8,18,validate
water skiing,AJYw48_nCOw,9,19,validate
shaving legs,AJdp07pp43c,79,89,validate
swing dancing,AK-ShBWyXYI,102,112,validate
cooking egg,AKAyeedIaRE,149,159,validate
riding a bike,AKEmErmt_GQ,27,37,validate
washing hair,AKPPivv8g0A,0,10,validate
playing cello,AKzA_oc_9-o,4,14,validate
yoga,ALXkbsn9Kyk,58,68,validate
moving furniture,ALcst6wM7Qs,0,10,validate
shearing sheep,ALuoGEf8K_g,27,37,validate
doing aerobics,AMalBjpD5_E,18,28,validate
jumpstyle dancing,AMpDQoVXdF0,160,170,validate
answering questions,AMuD4K62DUo,136,146,validate
cracking neck,ANEzNe-jWyo,2,12,validate
snowkiting,ANOAOL2NQXw,23,33,validate
playing poker,ANhCbY-BjUw,78,88,validate
drinking beer,ANveGRkmacw,0,10,validate
sled dog racing,AO1rgHYoTgw,161,171,validate
playing harmonica,AO3YM-YmBV0,14,24,validate
making snowman,AOHTg8nbsic,59,69,validate
cleaning windows,AOVNu8IC7PE,59,69,validate
swinging legs,APUtOhO2T2Q,6,16,validate
canoeing or kayaking,APbBBzEq7oo,335,345,validate
squat,AQKhWzZkm9I,5,15,validate
ski jumping,AQOI7lkBaIM,2,12,validate
blowing glass,AQrbRSnRt8M,354,364,validate
milking cow,ARRsGVokwpc,22,32,validate
unboxing,ARTWvo32zcs,382,392,validate
changing oil,ARhawWfy1GQ,163,173,validate
bending metal,ARljeqwkSTI,36,46,validate
swimming butterfly stroke,ARy-5IL5DZo,0,10,validate
bee keeping,ARyrI-nDoE8,2,12,validate
abseiling,ASFOR-PFsiM,40,50,validate
sign language interpreting,ASJNWLn7A9Q,8,18,validate
tickling,ASg5qTkkpBo,1,11,validate
cleaning toilet,ASqm-EtvnFo,2,12,validate
ice fishing,ATGmArCQBBk,14,24,validate
setting table,ATMO70sBlMw,16,26,validate
belly dancing,ATReTb-b2T0,232,242,validate
trapezing,ATXRvSRJImM,47,57,validate
swinging legs,ATZC3YKIyBg,1,11,validate
cooking on campfire,ATZxipJouSI,42,52,validate
breakdancing,ATdZsuVa9ss,136,146,validate
high kick,ATolGChK-pY,0,10,validate
drumming fingers,ATz1lako-Fw,24,34,validate
brush painting,AUKLJ8dhKow,24,34,validate
sword fighting,AUfpa3rAXpI,1,11,validate
cracking neck,AUy8l4Nmvvc,0,10,validate
clapping,AV5bPnbuR20,19,29,validate
blowing nose,AV9UYjCD4wY,11,21,validate
dodgeball,AV9_t0LYy8Y,76,86,validate
pull ups,AV9sB40vvZQ,18,28,validate
vault,AV9vnPQvI7c,0,10,validate
scuba diving,AVA9IaJqy-s,1635,1645,validate
carrying baby,AVCHEAWw70o,153,163,validate
riding mountain bike,AVMn6SXKs-I,684,694,validate
news anchoring,AVZtye6U8x0,31,41,validate
sniffing,AWjY5_3yeVg,11,21,validate
playing harp,AWjfCxman6A,183,193,validate
arranging flowers,AWt20jQnRv0,323,333,validate
playing saxophone,AWuqlrq58PY,16,26,validate
salsa dancing,AX5T5BpqYDI,71,81,validate
massaging feet,AXF9uboAbjU,76,86,validate
tickling,AXOPJ9Bv0TM,135,145,validate
snowmobiling,AXY43w5ZRCs,36,46,validate
faceplanting,AX_CHNc1ThA,1,11,validate
grooming horse,AXnDRH7o2DQ,15,25,validate
building cabinet,AY1ByiUdRIQ,63,73,validate
tap dancing,AYBWxLkoYrQ,145,155,validate
hurdling,AYHbK7Ba50A,78,88,validate
headbanging,AYb0nV1RWjA,7,17,validate
hammer throw,AYcsAYm3Pic,28,38,validate
dancing macarena,AYrr8sn98Mo,3,13,validate
zumba,AYskGmjScDU,150,160,validate
marching,AYslYdNVsMU,272,282,validate
texting,AYyvCKNDct8,13,23,validate
egg hunting,AZQvZ10IG6k,42,52,validate
brushing teeth,A_0bhesqVfA,24,34,validate
balloon blowing,A_B1UiKQwoo,24,34,validate
playing organ,A_R1Cb2Xrhk,0,10,validate
making pizza,A_w2X3P1E1g,221,231,validate
doing nails,Aa8HzCPfArg,82,92,validate
unboxing,AaPaXxmsTgg,94,104,validate
shaking head,AaY6qM34cls,2,12,validate
auctioning,AawvW-EX7bI,178,188,validate
weaving basket,AbN2TMRlq4s,2415,2425,validate
blowing glass,AbPDd2tpC3Q,56,66,validate
skydiving,AcN0znncjns,285,295,validate
recording music,AcWGNfJnBOE,375,385,validate
climbing tree,AccCaFXZa8c,6,16,validate
country line dancing,AcwIWGIKl6M,77,87,validate
giving or receiving award,AdLJjWGaE_o,111,121,validate
eating watermelon,AdOKjU-Wcu8,2,12,validate
hammer throw,AdVw9scKpc0,18,28,validate
ski jumping,AdixdLDz2vE,53,63,validate
trimming trees,AdrLCOKHSPw,1,11,validate
swinging on something,Adspplz782U,15,25,validate
exercising with an exercise ball,AdvnLWH89nI,2578,2588,validate
flying kite,AdydfTm4134,63,73,validate
digging,AejdzrhDWyM,1,11,validate
playing organ,AeyiXpLGUs4,36,46,validate
vault,AfETt6_Du1I,22,32,validate
riding a bike,AfFFjCngQCY,740,750,validate
unloading truck,AfibDfHA0lg,3,13,validate
passing American football (not in game),AfmSFYfNzmg,2,12,validate
driving tractor,Ag4oX08NclY,87,97,validate
smoking,Ag9mJ4tEIEE,273,283,validate
presenting weather forecast,AgGupPuUftc,63,73,validate
blowing nose,AgL6vtTo71o,34,44,validate
spinning poi,Agg6gEc6KLQ,15,25,validate
playing recorder,AgvV4esrN-w,2,12,validate
cooking chicken,Ah4JpfaSMTk,61,71,validate
dancing macarena,Ah9wI6ltIHo,47,57,validate
wrapping present,AhCWMOo-MnQ,134,144,validate
high jump,AhMpS-dz2pc,2,12,validate
kicking field goal,AhQtAKiEWUc,3,13,validate
country line dancing,AhRXTbxl9TA,119,129,validate
hula hooping,AhvCpCETMnA,37,47,validate
eating hotdog,Ahz1XgFfkbQ,27,37,validate
kicking soccer ball,Ai-1BaNDU8s,4,14,validate
whistling,Ai0RaLVZW_g,4,14,validate
drop kicking,AiNrPS9Z4fY,49,59,validate
dodgeball,AiU2O75kCkU,207,217,validate
pull ups,AiVMAXr8E9o,3,13,validate
sniffing,Aiw2BA27P9w,5,15,validate
playing controller,AjPiRhqGxRs,94,104,validate
hopscotch,AjViqNfD1cM,7,17,validate
headbanging,AjZ_d0fWUBc,45,55,validate
pull ups,AjmI_Z4evMI,21,31,validate
cracking neck,AkC6jSz8PU0,64,74,validate
robot dancing,Akmi0vc_LBo,12,22,validate
chopping wood,AkpRf7g3HqY,112,122,validate
eating carrots,AkxFF2XAffQ,22,32,validate
grooming dog,AlDt0TtAbag,3,13,validate
sailing,AmeulEoz2FQ,101,111,validate
swing dancing,AmrH8IeZtYY,20,30,validate
feeding goats,Amtv9zBt8RE,11,21,validate
push up,AmyNuR-wjA4,34,44,validate
shaving legs,AnHpZkIXeE8,482,492,validate
ice fishing,AnVuALkg3zQ,68,78,validate
punching bag,Ao1r4ZqNqBA,5,15,validate
eating watermelon,Ao3EwAJiqgw,5,15,validate
cooking egg,Ao3M2TPI3sQ,294,304,validate
strumming guitar,AoHRO78MC2I,17,27,validate
playing chess,AoH_c-tux7Q,5,15,validate
kitesurfing,Ap8tOpBehT0,34,44,validate
springboard diving,Ap9JF7XdUx0,5,15,validate
shaving head,ApPr9HBENC8,95,105,validate
extinguishing fire,ApobGxvj9Ok,60,70,validate
contact juggling,AppQx0ei9Fk,131,141,validate
riding a bike,Aq0GtnK898s,109,119,validate
shot put,AqIJYnkBugg,3,13,validate
ski jumping,AqM2x1-pBeA,102,112,validate
answering questions,AqPeHqTDfGE,68,78,validate
kitesurfing,AqlSg_umYlc,1,11,validate
blowing leaves,ArNAUdusB8w,37,47,validate
robot dancing,AroYo1O9Lq8,7,17,validate
catching or throwing baseball,AsPjORZU-cU,55,65,validate
petting animal (not cat),AsVaO0QouFY,0,10,validate
shaking hands,Ascc4Z14FTs,18,28,validate
filling eyebrows,Asoiu259ExQ,245,255,validate
catching or throwing frisbee,AsoqLaO8YJ8,1,11,validate
taking a shower,AsruqulWma0,35,45,validate
javelin throw,At7NeSrao5I,26,36,validate
checking tires,At8HVW4DMZ8,164,174,validate
air drumming,At8LPKnA9Zg,134,144,validate
massaging person's head,AtUdJ9E_si4,14,24,validate
side kick,AtajgZFYXdk,0,10,validate
slapping,AtmUxjr6ZFI,4,14,validate
milking cow,AtmqqCDPN7U,2,12,validate
exercising with an exercise ball,AtoipJ3SZkc,1246,1256,validate
balloon blowing,AtqsWTqIxSs,14,24,validate
hitting baseball,Atzrde5uGcM,1,11,validate
massaging back,Au706wL9qZY,18,28,validate
throwing ball,AuKAgQwDSsg,0,10,validate
tasting food,AuM8Zu6xXw8,23,33,validate
playing xylophone,AuQI8m8zswA,358,368,validate
snatch weight lifting,AurrPVrg8IU,1,11,validate
strumming guitar,AuwLr_Ygybw,1,11,validate
playing recorder,AvL4qyqmUuY,94,104,validate
peeling potatoes,AvjwJ1c14rQ,5,15,validate
kissing,AvljwfuckJI,68,78,validate
pull ups,AvtxDbRUR48,48,58,validate
dying hair,Aw2OtZReLDk,136,146,validate
javelin throw,Awe_Sf14hPU,37,47,validate
dancing charleston,Ax88fQ2PzKw,28,38,validate
chopping wood,AxKiC7Soc6s,22,32,validate
windsurfing,AxQPpRGxm-Q,54,64,validate
blowing nose,AxT4KGgCtN8,2,12,validate
catching or throwing frisbee,AxgWfYvA-Zo,8,18,validate
celebrating,AxkgTsfZ9ME,115,125,validate
bartending,AxpxsMheLZ4,134,144,validate
petting cat,AyZ2hw6W6_Q,0,10,validate
sweeping floor,AyrJLW2Mpbw,0,10,validate
clean and jerk,AyrbBM87D5g,12,22,validate
biking through snow,AzLMpbfDa8E,43,53,validate
planting trees,Az_oY4eA2EA,3,13,validate
throwing discus,B-JC1A_KQ84,13,23,validate
ice fishing,B-cooLEi7C0,27,37,validate
brushing teeth,B-eyMbEe2-4,23,33,validate
making pizza,B-mWdWjAbjQ,314,324,validate
playing chess,B-spAZFhXxk,30,40,validate
shoveling snow,B029kZSTx6Y,3,13,validate
decorating the christmas tree,B0D-T8rPINo,60,70,validate
doing nails,B0HY3z-Uc1A,165,175,validate
flipping pancake,B0ab3213sYY,30,40,validate
climbing a rope,B0qJyLpntgQ,6,16,validate
tango dancing,B0xZ0e4tqAU,155,165,validate
scrambling eggs,B1JoAUA19Jw,38,48,validate
dancing ballet,B1VMXc70Onc,13,23,validate
slapping,B1gNzTo2qyE,2,12,validate
sanding floor,B1hpiIubpOk,102,112,validate
opening bottle,B1tr5F2CPAQ,95,105,validate
eating burger,B21VWd9z9Ww,51,61,validate
taking a shower,B23pN3O7oms,0,10,validate
drumming fingers,B28a7A-YdLM,25,35,validate
disc golfing,B2PYviO_MBw,341,351,validate
squat,B2Qpcabplso,17,27,validate
catching fish,B2bmIHbvArc,5,15,validate
taking a shower,B2dEncQ_E68,69,79,validate
catching or throwing baseball,B3EX-SmSh70,2,12,validate
building cabinet,B3RmHebBv1g,30,40,validate
swimming backstroke,B3qb2F_MxRw,648,658,validate
laughing,B3sQivF4s4w,448,458,validate
bandaging,B45O5QhK91w,63,73,validate
playing cricket,B4GPM6Hy6ZI,137,147,validate
playing ice hockey,B4XOE5mspq8,4,14,validate
pumping gas,B4e4b222Ws0,6,16,validate
baking cookies,B4fBVrtr3Qo,147,157,validate
water skiing,B57NAi7KZ78,8,18,validate
grinding meat,B58eZb6k1OI,304,314,validate
playing badminton,B5GZDpPrN6g,14,24,validate
playing flute,B5V-gDdYI4Y,65,75,validate
scuba diving,B5b2rBinfCw,24,34,validate
front raises,B63YUwWcA_8,4,14,validate
windsurfing,B69q1FpN_iY,116,126,validate
flying kite,B6GpCEfEwJU,77,87,validate
javelin throw,B6L4dUKm9_Y,2,12,validate
gymnastics tumbling,B6NQFCRZf04,54,64,validate
crossing river,B6gxJpoVNr8,5,15,validate
grooming dog,B7N6e_txBaM,8,18,validate
baking cookies,B7PqtWRQNbo,316,326,validate
baby waking up,B7ZWLBPF-So,3,13,validate
waxing back,B85vXohIaDg,14,24,validate
bowling,B86jGiboZMM,34,44,validate
rock scissors paper,B8P3VwwkFW8,8,18,validate
smoking,B8WPXlVXb6Q,22,32,validate
clean and jerk,B8WQ7foXaJ4,3,13,validate
salsa dancing,B8ZB0W68RqY,52,62,validate
making a sandwich,B8_bnOUYKhg,25,35,validate
cleaning pool,B8uJabL49FI,74,84,validate
clean and jerk,B98EOBpM5YQ,17,27,validate
playing piano,B98TeRdNznM,26,36,validate
petting cat,B9BGRDotBG8,4,14,validate
doing nails,B9DIINQnDG8,25,35,validate
playing cymbals,B9iL4uBr4TM,259,269,validate
feeding goats,BAHRnMEFEwg,4,14,validate
golf chipping,BAL7gr2Nqks,4,14,validate
tossing coin,BAUA4fUj2cA,10,20,validate
parasailing,BAWbAomXWYE,2,12,validate
shearing sheep,BAiRyPFPaAI,70,80,validate
salsa dancing,BAogaOXkM-U,118,128,validate
waxing chest,BBDR-x9Pz6Q,19,29,validate
bowling,BBN3OkI40xk,8,18,validate
playing paintball,BBO43B9WOUE,5,15,validate
grooming dog,BBbV21_LNBc,547,557,validate
tossing coin,BBfk5SMBZPE,23,33,validate
strumming guitar,BC8PLOvo8rk,50,60,validate
decorating the christmas tree,BC8gRenEZ9Y,514,524,validate
side kick,BCdL5JXRUoI,47,57,validate
massaging feet,BCgFPj0lLFg,95,105,validate
bench pressing,BDOyyXvkZfM,220,230,validate
tossing coin,BD_X0yDQeIQ,0,10,validate
making a cake,BE7DuKEh7us,16,26,validate
using remote controller (not gaming),BE8c82RsBCM,215,225,validate
playing piano,BEEGTv3Eb30,1,11,validate
bench pressing,BFPKPjBgXIU,22,32,validate
motorcycling,BFSI1GSWZF0,20,30,validate
reading book,BFYBAg9fSL4,388,398,validate
golf putting,BFymm3O0_PE,10,20,validate
ski jumping,BG3qTBvDIYg,22,32,validate
playing monopoly,BG5t45l8MUg,28,38,validate
drinking,BG6PwznFkE0,554,564,validate
grooming dog,BGVV6HpegaQ,52,62,validate
high kick,BGbKbr0c-9Y,4,14,validate
making snowman,BGlsCmw_49Q,197,207,validate
swinging legs,BHMeO1L6sO4,5,15,validate
balloon blowing,BHWHROvxnHE,8,18,validate
playing chess,BHZLeikiPao,4,14,validate
playing cymbals,BHjh7yu7Lzo,41,51,validate
ice skating,BHsEDv0MZeI,522,532,validate
tossing coin,BHyaPDyQbs4,4,14,validate
holding snake,BI3EgX_VS4Y,61,71,validate
hurdling,BIPWkY0jIXA,118,128,validate
watering plants,BIdw6FZvvHo,2,12,validate
flying kite,BJ4DdzKi-GE,8,18,validate
abseiling,BJ8ZBTYXyAE,76,86,validate
tapping guitar,BJACErphRZg,1,11,validate
yoga,BJOOPOjhE-g,49,59,validate
jumpstyle dancing,BJa-nPW3LLs,318,328,validate
swimming breast stroke,BJj9z4n0STk,27,37,validate
balloon blowing,BJlHsunMcME,296,306,validate
setting table,BJwEdgSZKog,120,130,validate
eating watermelon,BJweahZ1ZjM,95,105,validate
swimming backstroke,BK3cLKjmnek,28,38,validate
punching person (boxing),BKKZwGtb0HQ,140,150,validate
headbutting,BKT5CRV_418,0,10,validate
throwing discus,BL3rYEiim58,72,82,validate
golf putting,BLLQVSig85g,7,17,validate
massaging feet,BLPe9NdtWb0,317,327,validate
waxing back,BLiDcdCX7ac,110,120,validate
waxing back,BM3yGu1uCKE,19,29,validate
dodgeball,BM9XtdC6B0A,87,97,validate
cooking chicken,BMFiOTq7GhI,42,52,validate
riding a bike,BMz8HNkM2sw,578,588,validate
swing dancing,BN25n8-eHBQ,37,47,validate
throwing axe,BN2az4fHMHM,0,10,validate
jumpstyle dancing,BN56cms2DFE,45,55,validate
robot dancing,BN5NLWihfm8,20,30,validate
snowkiting,BOizaOAVyJk,18,28,validate
bungee jumping,BOqR-dhHu4o,141,151,validate
brush painting,BOsw05jsKao,228,238,validate
air drumming,BOw4uYkjImw,31,41,validate
playing recorder,BPAZjVFei4M,0,10,validate
drinking shots,BPdhR_xx4m4,122,132,validate
tying bow tie,BPkB7rLzfBE,13,23,validate
baby waking up,BQKpuopOZiQ,1,11,validate
cooking on campfire,BQfDmW1Nodk,2,12,validate
blowing leaves,BQkGMJD39c8,25,35,validate
peeling apples,BRMRTWoAjpE,32,42,validate
pushing car,BRSyP1ipDp4,45,55,validate
throwing discus,BRUpBkO_0Rg,4,14,validate
arm wrestling,BR_xexuO7Ac,19,29,validate
building cabinet,BRmFy1lYfhY,2,12,validate
bookbinding,BS2HHfEy04Q,18,28,validate
recording music,BSMzllNF88A,901,911,validate
rock climbing,BSo0GTPOtjk,0,10,validate
juggling fire,BT7VcTPg6pE,110,120,validate
catching or throwing softball,BTXbUwxmdHM,1,11,validate
bungee jumping,BTqj4XvHv0c,9,19,validate
exercising with an exercise ball,BUT8oefH9Nw,38,48,validate
singing,BV61-QMh8A0,56,66,validate
jogging,BVEpvBjJXf4,3,13,validate
recording music,BVLusCW-qPY,1591,1601,validate
playing flute,BVMxdSXghoI,113,123,validate
riding or walking with horse,BVPF2YPvFjU,0,10,validate
doing aerobics,BW9tYT0Y0lo,52,62,validate
cleaning shoes,BWUegTwLnpU,7,17,validate
feeding goats,BWnUqo2pXgQ,7,17,validate
spray painting,BWxQXzXynhQ,387,397,validate
swimming breast stroke,BX-dyfoGFsE,168,178,validate
abseiling,BXXE1G7O5ec,30,40,validate
eating hotdog,BXb1JVzqhpA,3,13,validate
playing accordion,BXdLkM8ed2c,86,96,validate
playing trombone,BXqG3TAD5CM,301,311,validate
eating hotdog,BXsqpXXi3p4,26,36,validate
applying cream,BY0883Dvt1c,20,30,validate
giving or receiving award,BYLMB5s0M8Q,168,178,validate
playing volleyball,BYRSePXrZFY,3,13,validate
shooting goal (soccer),BYiyq0pD6M0,12,22,validate
ski jumping,BYjR9k93WlI,13,23,validate
robot dancing,BYntfjRyIqw,34,44,validate
lunge,BYoIZZLnizg,8,18,validate
fixing hair,BYuGF3yuoy0,25,35,validate
bookbinding,BZ5bWl6t28Y,6,16,validate
hoverboarding,BZFXl8lz30k,84,94,validate
skiing (not slalom or crosscountry),BZVvlUhQjjI,64,74,validate
folding clothes,B_8RBGQRfQo,15,25,validate
shaving legs,B_E-eRN3FQQ,121,131,validate
digging,B__pr_4s7vY,43,53,validate
yawning,B_jqMnvs5Y8,34,44,validate
building shed,Ba9jdO3a6lY,29,39,validate
mopping floor,BaX9kZ1IVtg,16,26,validate
tying knot (not on a tie),Baf1ouY3q9U,46,56,validate
cleaning shoes,BaxSXj7lRaE,1741,1751,validate
chopping wood,Bb8h5wgHlug,47,57,validate
tai chi,BbFbo987QEo,57,67,validate
unboxing,BbPVtRkmQoY,38,48,validate
somersaulting,Bbt3AmL2BAU,15,25,validate
breading or breadcrumbing,Bc2iSXI37jk,146,156,validate
playing cello,BcRFkIFnkrg,169,179,validate
playing clarinet,BcTqDYzKNvE,23,33,validate
vault,BcWB55fhQgc,1,11,validate
shaking head,Bchh2rWnSUY,0,10,validate
playing guitar,Bd0dqJ1ac0w,6,16,validate
massaging back,BdL_aocA0FA,202,212,validate
snowmobiling,BdMMVJE68WY,106,116,validate
arm wrestling,BdMiTo_OtnU,24,34,validate
eating doughnuts,BdS2tF_ZV-A,3,13,validate
exercising with an exercise ball,BdUJ7G6l86Q,31,41,validate
unboxing,BdejysmsL-A,4,14,validate
arranging flowers,BdmLB7IdGrk,4,14,validate
throwing discus,Be2wr7V430I,9,19,validate
shaving legs,Be3L2e7HN54,336,346,validate
carrying baby,Be4hwJOMK2k,3,13,validate
jetskiing,Be59Cot2yGI,233,243,validate
kitesurfing,BeAaZ5z4SjA,20,30,validate
snowmobiling,BeWV1TmeUMI,231,241,validate
eating watermelon,BeWXixoIYKQ,2,12,validate
bartending,Bedt6pQucJ0,21,31,validate
drinking beer,BetKhiZ1WH0,2,12,validate
playing kickball,Bf-hpUhA_SM,81,91,validate
skydiving,BfIr1oCA1Ag,142,152,validate
doing laundry,BfQBoGSK4yQ,63,73,validate
snorkeling,BfvLrqzWUIU,80,90,validate
playing squash or racquetball,Bg1EpavUsPM,7,17,validate
petting cat,BgAm_L544l4,83,93,validate
marching,BgOoJsdK-xQ,3,13,validate
fixing hair,Bg_Bu1r5C2M,24,34,validate
climbing a rope,BgtsN1zeFWA,92,102,validate
drinking beer,Bgx-GQumPI4,14,24,validate
washing hair,BhU4HGJ2q4s,4,14,validate
skydiving,BhX34zRo_X4,303,313,validate
playing controller,BhaIwy7bhbI,81,91,validate
egg hunting,Bhh6SXsbjk8,298,308,validate
